algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw
matrixcsv,42,2,matrix_B,4430024.989793121,9447367.799596138,3083014542.653233,428.90037651148873,0.92578125,501.67359495162964,P2,128x128,6,32,2,1,1,2x2,2,80
matrixcsv,42,4,matrix_B,3884383.145814948,3787740.2723677782,3083612557.758293,432.8685861873989,0.91796875,510.23423886299133,P2,128x128,6,128,2,1,1,2x2,2,80
matrixcsv,42,7,matrix_B,4761170.464182462,1912910.9359328174,1005056583.1245512,58.30707701478249,0.916015625,164.21395921707153,P2,512x512,6,128,2,0,1,2x2,2,80
matrixcsv,42,8,matrix_B,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.9111328125,163.47110390663147,P2,512x512,6,128,2,1,1,2x2,2,80
