chip_id,chip_label,variant_id,variant_label,metric_key,metric_label,unit,mnsim_baseline_value,predicted_value,silicon_published_value,rel_error_vs_silicon_pct,abs_rel_error_vs_silicon_pct,abs_rel_error_reduction_vs_baseline_pct,model_delta_vs_baseline_pct,delta_area_mm2,delta_latency_ns,delta_energy_nj,config_path,assumption_note
rram_isscc2020_33p2,ISSCC 2020 Paper 33.2 RRAM macro,mnsim_baseline,MNSIM baseline,area_mm2,Area,mm^2,3.391405,3.391405,3.770000,-10.0423,10.0423,0.0000,0.0000,0.000000,0.000000,0.000000,/Users/bytedance/workspace/MNSIM-2.0/configs/SimConfig_issc2020_33p2.ini,"PE-level macro baseline. Device_Resistance uses a Fig. 33.2.S1-derived approximate pair (20 MOhm / 60 kOhm) from the tighter ""five 10ns"" distribution; Device_Variation stays at 1%; ADC_Choice=9 uses the built-in Qi Liu preset; DAC is user-defined 8-bit to avoid DAC_Choice=1 time-multiplex inflation and DAC_Choice=6 power-scale issues in the current code path. TODO: replace calibrated PE-level placeholders with the original MNSIM validation config if recovered. Unmodified PE-level MNSIM baseline. "
rram_isscc2020_33p2,ISSCC 2020 Paper 33.2 RRAM macro,mnsim_baseline,MNSIM baseline,latency_ns,Latency,ns,53.790833,53.790833,51.100000,5.2658,5.2658,0.0000,0.0000,0.000000,0.000000,0.000000,/Users/bytedance/workspace/MNSIM-2.0/configs/SimConfig_issc2020_33p2.ini,"PE-level macro baseline. Device_Resistance uses a Fig. 33.2.S1-derived approximate pair (20 MOhm / 60 kOhm) from the tighter ""five 10ns"" distribution; Device_Variation stays at 1%; ADC_Choice=9 uses the built-in Qi Liu preset; DAC is user-defined 8-bit to avoid DAC_Choice=1 time-multiplex inflation and DAC_Choice=6 power-scale issues in the current code path. TODO: replace calibrated PE-level placeholders with the original MNSIM validation config if recovered. Unmodified PE-level MNSIM baseline. "
rram_isscc2020_33p2,ISSCC 2020 Paper 33.2 RRAM macro,mnsim_baseline,MNSIM baseline,energy_efficiency_tops_per_w,Energy efficiency,TOPS/W,74.652315,74.652315,78.400000,-4.7802,4.7802,0.0000,0.0000,0.000000,0.000000,0.000000,/Users/bytedance/workspace/MNSIM-2.0/configs/SimConfig_issc2020_33p2.ini,"PE-level macro baseline. Device_Resistance uses a Fig. 33.2.S1-derived approximate pair (20 MOhm / 60 kOhm) from the tighter ""five 10ns"" distribution; Device_Variation stays at 1%; ADC_Choice=9 uses the built-in Qi Liu preset; DAC is user-defined 8-bit to avoid DAC_Choice=1 time-multiplex inflation and DAC_Choice=6 power-scale issues in the current code path. TODO: replace calibrated PE-level placeholders with the original MNSIM validation config if recovered. Unmodified PE-level MNSIM baseline. "
rram_isscc2020_33p2,ISSCC 2020 Paper 33.2 RRAM macro,pim_sim_chip_profile,pim_sim chip profile,area_mm2,Area,mm^2,3.391405,3.460100,3.770000,-8.2202,8.2202,18.1447,2.0256,0.068695,0.000000,-0.118440,/Users/bytedance/workspace/MNSIM-2.0/configs/SimConfig_issc2020_33p2.ini,"PE-level macro baseline. Device_Resistance uses a Fig. 33.2.S1-derived approximate pair (20 MOhm / 60 kOhm) from the tighter ""five 10ns"" distribution; Device_Variation stays at 1%; ADC_Choice=9 uses the built-in Qi Liu preset; DAC is user-defined 8-bit to avoid DAC_Choice=1 time-multiplex inflation and DAC_Choice=6 power-scale issues in the current code path. TODO: replace calibrated PE-level placeholders with the original MNSIM validation config if recovered. Apply the registered chip-specific pim_sim profile. This path is the default pim_sim+MNSIM+baseline result for literature-anchor comparison. Chip-specific ppa profile for Q. Liu ISSCC 2020 33.2. The baseline already uses MNSIM's dedicated Qi Liu ADC implementation via ADC_Choice=9 and a paper-backed Device_Resistance pair. The additional pim_sim correction is limited to two public-data-backed effects: a 4KB output-buffer macro-boundary area overlay from Fig. 33.2.2 and a 1.9x SW-2T2R current-suppression correction applied only to current-dependent ADC/xbar energy."
rram_isscc2020_33p2,ISSCC 2020 Paper 33.2 RRAM macro,pim_sim_chip_profile,pim_sim chip profile,latency_ns,Latency,ns,53.790833,53.790833,51.100000,5.2658,5.2658,0.0000,0.0000,0.068695,0.000000,-0.118440,/Users/bytedance/workspace/MNSIM-2.0/configs/SimConfig_issc2020_33p2.ini,"PE-level macro baseline. Device_Resistance uses a Fig. 33.2.S1-derived approximate pair (20 MOhm / 60 kOhm) from the tighter ""five 10ns"" distribution; Device_Variation stays at 1%; ADC_Choice=9 uses the built-in Qi Liu preset; DAC is user-defined 8-bit to avoid DAC_Choice=1 time-multiplex inflation and DAC_Choice=6 power-scale issues in the current code path. TODO: replace calibrated PE-level placeholders with the original MNSIM validation config if recovered. Apply the registered chip-specific pim_sim profile. This path is the default pim_sim+MNSIM+baseline result for literature-anchor comparison. Chip-specific ppa profile for Q. Liu ISSCC 2020 33.2. The baseline already uses MNSIM's dedicated Qi Liu ADC implementation via ADC_Choice=9 and a paper-backed Device_Resistance pair. The additional pim_sim correction is limited to two public-data-backed effects: a 4KB output-buffer macro-boundary area overlay from Fig. 33.2.2 and a 1.9x SW-2T2R current-suppression correction applied only to current-dependent ADC/xbar energy."
rram_isscc2020_33p2,ISSCC 2020 Paper 33.2 RRAM macro,pim_sim_chip_profile,pim_sim chip profile,energy_efficiency_tops_per_w,Energy efficiency,TOPS/W,74.652315,79.113476,78.400000,0.9100,0.9100,80.9622,5.9759,0.068695,0.000000,-0.118440,/Users/bytedance/workspace/MNSIM-2.0/configs/SimConfig_issc2020_33p2.ini,"PE-level macro baseline. Device_Resistance uses a Fig. 33.2.S1-derived approximate pair (20 MOhm / 60 kOhm) from the tighter ""five 10ns"" distribution; Device_Variation stays at 1%; ADC_Choice=9 uses the built-in Qi Liu preset; DAC is user-defined 8-bit to avoid DAC_Choice=1 time-multiplex inflation and DAC_Choice=6 power-scale issues in the current code path. TODO: replace calibrated PE-level placeholders with the original MNSIM validation config if recovered. Apply the registered chip-specific pim_sim profile. This path is the default pim_sim+MNSIM+baseline result for literature-anchor comparison. Chip-specific ppa profile for Q. Liu ISSCC 2020 33.2. The baseline already uses MNSIM's dedicated Qi Liu ADC implementation via ADC_Choice=9 and a paper-backed Device_Resistance pair. The additional pim_sim correction is limited to two public-data-backed effects: a 4KB output-buffer macro-boundary area overlay from Fig. 33.2.2 and a 1.9x SW-2T2R current-suppression correction applied only to current-dependent ADC/xbar energy."
rram_isscc2020_33p2,ISSCC 2020 Paper 33.2 RRAM macro,pim_sim_adc_walden,pim_sim ADC Walden,area_mm2,Area,mm^2,3.391405,1.835639,3.770000,-51.3093,51.3093,-410.9320,-45.8738,-1.555767,-41.000000,4.870827,/Users/bytedance/workspace/MNSIM-2.0/configs/SimConfig_issc2020_33p2.ini,"PE-level macro baseline. Device_Resistance uses a Fig. 33.2.S1-derived approximate pair (20 MOhm / 60 kOhm) from the tighter ""five 10ns"" distribution; Device_Variation stays at 1%; ADC_Choice=9 uses the built-in Qi Liu preset; DAC is user-defined 8-bit to avoid DAC_Choice=1 time-multiplex inflation and DAC_Choice=6 power-scale issues in the current code path. TODO: replace calibrated PE-level placeholders with the original MNSIM validation config if recovered. Apply pim_sim ADC-only Walden-FOM correction on top of the MNSIM baseline. This remains a generic sensitivity model / negative control here. Device asymmetry and IR-drop are not included because the current repo only wires them into the accuracy path. "
rram_isscc2020_33p2,ISSCC 2020 Paper 33.2 RRAM macro,pim_sim_adc_walden,pim_sim ADC Walden,latency_ns,Latency,ns,53.790833,12.790833,51.100000,-74.9690,74.9690,-1323.6917,-76.2212,-1.555767,-41.000000,4.870827,/Users/bytedance/workspace/MNSIM-2.0/configs/SimConfig_issc2020_33p2.ini,"PE-level macro baseline. Device_Resistance uses a Fig. 33.2.S1-derived approximate pair (20 MOhm / 60 kOhm) from the tighter ""five 10ns"" distribution; Device_Variation stays at 1%; ADC_Choice=9 uses the built-in Qi Liu preset; DAC is user-defined 8-bit to avoid DAC_Choice=1 time-multiplex inflation and DAC_Choice=6 power-scale issues in the current code path. TODO: replace calibrated PE-level placeholders with the original MNSIM validation config if recovered. Apply pim_sim ADC-only Walden-FOM correction on top of the MNSIM baseline. This remains a generic sensitivity model / negative control here. Device asymmetry and IR-drop are not included because the current repo only wires them into the accuracy path. "
rram_isscc2020_33p2,ISSCC 2020 Paper 33.2 RRAM macro,pim_sim_adc_walden,pim_sim ADC Walden,energy_efficiency_tops_per_w,Energy efficiency,TOPS/W,74.652315,22.492443,78.400000,-71.3107,71.3107,-1391.7891,-69.8704,-1.555767,-41.000000,4.870827,/Users/bytedance/workspace/MNSIM-2.0/configs/SimConfig_issc2020_33p2.ini,"PE-level macro baseline. Device_Resistance uses a Fig. 33.2.S1-derived approximate pair (20 MOhm / 60 kOhm) from the tighter ""five 10ns"" distribution; Device_Variation stays at 1%; ADC_Choice=9 uses the built-in Qi Liu preset; DAC is user-defined 8-bit to avoid DAC_Choice=1 time-multiplex inflation and DAC_Choice=6 power-scale issues in the current code path. TODO: replace calibrated PE-level placeholders with the original MNSIM validation config if recovered. Apply pim_sim ADC-only Walden-FOM correction on top of the MNSIM baseline. This remains a generic sensitivity model / negative control here. Device asymmetry and IR-drop are not included because the current repo only wires them into the accuracy path. "
