phase,preset,samples,feasible_samples,feasible_rate,mean_accuracy,best_accuracy,best_latency_ns,best_energy_nj,best_area_um2
matrix_A,P0,8,8,1.0,0.932373046875,0.9345703125,4430024.989793121,3196862.6607138305,894254493.5562104
matrix_A,P1,8,8,1.0,0.9266357421875,0.93359375,4430024.989793121,3193060.1506895665,894254493.5562104
matrix_A,P2,8,8,1.0,0.9195556640625,0.9345703125,4430024.989793121,3193060.1506895665,894254493.5562104
matrix_A,P3,8,0,0.0,0.820556640625,0.8701171875,4430024.989793121,3193060.1506895665,894254493.5562104
matrix_B,P1,8,8,1.0,0.9239501953125,0.9365234375,3884383.145814948,1248300.8586948751,1005056583.1245512
matrix_B,P2,8,8,1.0,0.9139404296875,0.92578125,3884383.145814948,1248300.8586948751,1005056583.1245512
