算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,RRAM器件预设,交叉阵列尺寸,ADC档位,DAC数量,正负权实现方式,差分相减位置,阵列分组数,PE阵列规模,Tile连接方式,片间带宽,附加JSON
mobo,44,1,init,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.900390625,19.00955104827881,1,P2,512x512,7,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
mobo,44,2,init,4761170.464182462,1248300.8586948751,894144505.3005514,30.12938593901255,0.736328125,19.203194618225098,0,P3,512x512,4,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.143671875}"
mobo,44,3,init,5997133.2533934815,3193060.1506895665,894254493.5562104,29.559223145690417,0.9208984375,22.517472505569458,0,P2,512x512,4,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
mobo,44,4,init,4761170.464182462,1912910.9359328174,1005056583.1245512,58.30707701478249,0.91796875,18.561113119125366,0,P1,512x512,6,128,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
mobo,44,5,init,5437350.214330991,1608248.0024651666,885898653.5562104,18.072503145690415,0.92578125,19.272836685180664,0,P2,512x512,7,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
mobo,44,6,init,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.8701171875,19.402947187423706,0,P3,512x512,6,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.009882812500000004}"
mobo,44,7,mobo,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.921875,19.129236698150635,1,P1,512x512,7,128,2,0,1,2x2,2,80,"{""parego_weight"": [0.07346955950428165, 0.1560466477253826, 0.09933245151329205, 0.6711513412570436], ""accuracy_violation"": 0.0}"
mobo,44,8,mobo,5997133.2533934815,5802139.1135352645,1005166571.3802105,57.43931540250036,0.9306640625,18.099487781524658,0,P1,512x512,6,32,2,0,1,2x2,2,80,"{""parego_weight"": [0.06349082337699766, 0.46718523941810164, 0.04318157822834537, 0.4261423589765553], ""accuracy_violation"": 0.0}"
mobo,44,9,mobo,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.8125,18.594103813171387,0,P3,512x512,7,128,2,1,1,2x2,2,80,"{""parego_weight"": [0.17981539260446958, 0.27560312392046393, 0.140356071220382, 0.40422541225468434], ""accuracy_violation"": 0.0675}"
mobo,44,10,mobo,5997133.2533934815,3193060.1506895665,894254493.5562104,29.559223145690417,0.9189453125,18.567723512649536,0,P1,512x512,4,32,2,1,1,2x2,2,80,"{""parego_weight"": [0.35502990498106257, 0.07974598383917196, 0.20708392911979698, 0.35814018205996834], ""accuracy_violation"": 0.0}"
