algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw
mobo,44,1,init,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.900390625,19.00955104827881,P2,512x512,7,128,2,1,1,2x2,2,80
mobo,44,7,mobo,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.921875,19.129236698150635,P1,512x512,7,128,2,0,1,2x2,2,80
mobo,44,12,mobo,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9169921875,20.044779539108276,P1,512x512,7,128,2,1,1,2x2,2,80
mobo,44,18,mobo,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.912109375,19.099311590194702,P2,512x512,7,128,2,0,1,2x2,2,80
