id,tag,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw,latency_ns,area_um2,power_w,energy_nj,accuracy,elapsed_s,status
C1_min,smallest+lowest_adc,P0,"(128, 128)",4,32,2,0,1,"(2, 2)",2,80,4430024.989793121,2426702222.653233,840.3485609893113,17065953.085644063,0.9264914772727273,64596.41828298569,ok
C2_max,largest+highest_adc,P3,"(512, 512)",7,32,2,0,1,"(2, 2)",2,80,5437350.214330991,885051371.3802106,34.47483540250036,2698263.8689908637,0.8405539772727273,1252.6384019851685,ok
C3_mid,midpoint,P1,"(256, 256)",6,32,2,0,1,"(2, 2)",2,80,5505547.211956913,1390504602.4562578,216.6891077170386,14625424.620446535,0.9236505681818182,1674.4550640583038,ok
C4_p0_big,p0_with_big_xbar,P0,"(512, 512)",4,32,2,0,1,"(2, 2)",2,80,5997133.2533934815,893407211.3802106,57.62997277050036,5809744.133583792,0.9307528409090909,1021.0254020690918,ok
C5_repro,duplicate_of_C3,P1,"(256, 256)",6,32,2,0,1,"(2, 2)",2,80,5505547.211956913,1390504602.4562578,216.6891077170386,14625424.620446535,0.9236505681818182,1640.807245016098,ok
