rank,base_objective,stage2_accuracy,accuracy_penalty,final_objective,xbar_size,adc_choice,dac_choice,pe_num,tile_connection,inter_tile_bw,intra_tile_bw
1,32.20289893231219,0.09978693181818182,96.02556818181819,128.22846711413038,"(512, 512)",8,4,"(2, 2)",3,80,2048
2,32.20309077707725,0.09978693181818182,96.02556818181819,128.22865895889544,"(512, 512)",8,4,"(2, 2)",3,80,512
3,32.22996741473978,0.09978693181818182,96.02556818181819,128.25553559655796,"(512, 512)",8,1,"(2, 2)",0,80,512
