algo,trial_seed,candidate_index,repeat_index,noise_seed,latency_ns,energy_nj,area_um2,power_w,accuracy,accuracy_violation,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw
matrixcsv,42,1,1,1000,4430024.989793121,9452907.30945102,2426702222.653233,429.6055257914888,0.9375,0.0,P0,128x128,4,32,2,1,1,2x2,2,80
matrixcsv,42,1,2,1001,4430024.989793121,9452907.30945102,2426702222.653233,429.6055257914888,0.943359375,0.0,P0,128x128,4,32,2,1,1,2x2,2,80
matrixcsv,42,1,3,1002,4430024.989793121,9452907.30945102,2426702222.653233,429.6055257914888,0.931640625,0.0,P0,128x128,4,32,2,1,1,2x2,2,80
matrixcsv,42,2,1,1000,14995379.256951638,14239571.045382822,2354348727.1181145,434.0356431720805,0.9375,0.0,P0,128x128,4,32,2,1,1,4x4,2,80
matrixcsv,42,2,2,1001,14995379.256951638,14239571.045382822,2354348727.1181145,434.0356431720805,0.943359375,0.0,P0,128x128,4,32,2,1,1,4x4,2,80
matrixcsv,42,2,3,1002,14995379.256951638,14239571.045382822,2354348727.1181145,434.0356431720805,0.931640625,0.0,P0,128x128,4,32,2,1,1,4x4,2,80
