算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,RRAM器件预设,交叉阵列尺寸,ADC档位,DAC数量,正负权实现方式,差分相减位置,阵列分组数,PE阵列规模,Tile连接方式,片间带宽
random,42,9,random,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9013671875,16.787696599960327,P2,512x512,7,128,2,0,1,2x2,2,80
random,42,12,random,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9140625,17.204211711883545,P1,512x512,7,128,2,0,1,2x2,2,80
random,42,13,random,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.92578125,16.93682837486267,P1,512x512,7,128,2,1,1,2x2,2,80
