algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,xbar_size,adc_choice,dac_choice,pe_num,tile_connection,inter_tile_bw,intra_tile_bw
mobo,44,11,mobo,3707253.0268778484,436485.5739678527,832821831.1245515,7.466428518782486,,1.6922361850738525,512x512,8,1,2x2,3,80,2048
mobo,44,12,mobo,3559405.1687249965,446724.43596553215,832943199.7005515,10.112999718782488,,1.5161988735198975,512x512,8,4,2x2,3,80,2048
mobo,44,16,mobo,3335922.1546657663,716152.2491661077,1118470257.5429137,23.657914509508167,,1.1641919612884521,256x256,8,1,2x2,3,80,2048
