algo,track,seed,total_evaluated,pareto_size,hypervolume,hv_ref_lat,hv_ref_en,hv_ref_area,best_scalarized_obj,best_latency_ns,best_energy_nj,best_area_um2,best_accuracy,wall_time_s
nsga2,multi,43,11,2,1.4298662666059322e+24,47681069.65997026,18978378.803729292,2579272717.314607,,3536938.9070545738,431701.84715030564,832821831.1245515,,35.3743839263916
nsga2,multi,42,20,5,1.438904401883518e+24,47681069.65997026,18978378.803729292,2579272717.314607,,3187877.194654147,431701.84715030564,832821831.1245515,,61.16072106361389
bo_gp,single,42,24,3,1.429371399362772e+24,47681069.65997026,18978378.803729292,2579272717.314607,32.16669899246325,3552217.1687249965,431701.84715030564,832821831.1245515,,68.1056969165802
bo_gp,single,43,24,4,1.4335664414494294e+24,47681069.65997026,18978378.803729292,2579272717.314607,32.166891225393556,3394881.9586033407,431701.84715030564,832821831.1245515,,68.43969988822937
nsga2,multi,44,21,2,1.3308416998530222e+24,47681069.65997026,18978378.803729292,2579272717.314607,,4536907.966539442,713582.3728580761,884993398.2285513,,69.00070977210999
bo_gp,single,44,24,5,1.4388890735495135e+24,47681069.65997026,18978378.803729292,2579272717.314607,32.16669899246325,3195393.738599459,431701.84715030564,832821831.1245515,,69.8051540851593
mobo,multi,42,24,4,1.4336092180240386e+24,47681069.65997026,18978378.803729292,2579272717.314607,,3391226.3850737717,431721.2155879321,832821831.1245515,,57.52363085746765
mobo,multi,43,24,6,1.4340234033408192e+24,47681069.65997026,18978378.803729292,2579272717.314607,,3391226.3850737717,431701.84715030564,832821831.1245515,,44.54403305053711
mobo,multi,44,24,3,1.4347290520927104e+24,47681069.65997026,18978378.803729292,2579272717.314607,,3335922.1546657663,436485.5739678527,832821831.1245515,,43.62810921669006
