算法,优化轨道,随机种子,总评估次数,帕累托解数量,超体积_HV,HV参考_延迟,HV参考_能耗,HV参考_面积,最优标量目标,最优延迟_ns,最优能耗_nJ,最优面积_um2,最优精度,墙钟时间_s
random,多目标,42,48,7,8.912407747953373e+23,20074654.34634978,24038878.31186933,3391973813.534123,,3884383.145814948,1589700.9585995504,885051371.3802106,0.9296875,3175.5126724243164
random,多目标,43,48,3,9.063314223818362e+23,20074654.34634978,24038878.31186933,3391973813.534123,,3513687.6067524604,1077230.9208284174,884941383.1245514,0.931640625,1752.8839693069458
random,多目标,44,48,6,8.903610345713476e+23,20074654.34634978,24038878.31186933,3391973813.534123,,3905028.5279078325,797588.8653504751,884941383.1245514,0.9326171875,1351.040939092636
nsga2,多目标,42,48,3,9.25825144234689e+23,20074654.34634978,24038878.31186933,3391973813.534123,,3884383.145814948,797588.8653504751,885788665.3005514,0.93359375,1480.199038028717
nsga2,多目标,43,48,4,9.214082981579525e+23,20074654.34634978,24038878.31186933,3391973813.534123,,3513687.6067524604,797588.8653504751,884941383.1245514,0.9306640625,1346.6167440414429
nsga2,多目标,44,48,5,9.332571111774351e+23,20074654.34634978,24038878.31186933,3391973813.534123,,3905028.5279078325,797588.8653504751,884941383.1245514,0.931640625,995.310328245163
mobo,多目标,42,48,6,9.199206129363361e+23,20074654.34634978,24038878.31186933,3391973813.534123,,3513687.6067524604,797588.8653504751,884941383.1245514,0.939453125,1684.6451396942139
mobo,多目标,43,48,4,9.380295251533173e+23,20074654.34634978,24038878.31186933,3391973813.534123,,3884383.145814948,797588.8653504751,884941383.1245514,0.9326171875,1865.2750964164734
mobo,多目标,44,48,5,9.123726359631972e+23,20074654.34634978,24038878.31186933,3391973813.534123,,3681844.8067524326,797588.8653504751,884941383.1245514,0.931640625,2005.5914108753204
