算法,优化轨道,种子数量,HV均值,HV标准差,帕累托规模均值,帕累托规模标准差,最优延迟均值_ns,最优延迟标准差_ns,最优能耗均值_nJ,最优能耗标准差_nJ,最优面积均值_um2,最优面积标准差_um2,墙钟时间均值_s
mobo,多目标,3,9.234409246842835e+23,1.3185728528624371e+22,5,1.0,3693305.1864399468,185613.31012926722,797588.8653504751,0.0,884941383.1245514,0.0,1851.8372156620026
nsga2,多目标,3,9.268301845233589e+23,5.988002336259794e+21,4,1.0,3767699.7601584136,220223.04263833843,797588.8653504751,0.0,885223810.5165514,489178.59239317133,1274.0420367717743
random,多目标,3,8.959777439161737e+23,8.977331398760363e+21,5.333333333333333,2.0816659994661326,3767699.7601584136,220223.04263833843,1154840.248259481,401718.55551627744,884978045.8764378,63501.749012549546,2093.145860274633
