algo,track,n_seeds,mean_hypervolume,std_hypervolume,mean_pareto_size,std_pareto_size,mean_best_latency_ns,std_best_latency_ns,mean_best_energy_nj,std_best_energy_nj,mean_best_area_um2,std_best_area_um2,mean_wall_time_s
mobo,multi,3,9.234409246842835e+23,1.3185728528624371e+22,5,1.0,3693305.1864399468,185613.31012926722,797588.8653504751,0.0,884941383.1245514,0.0,1851.8372156620026
nsga2,multi,3,9.268301845233589e+23,5.988002336259794e+21,4,1.0,3767699.7601584136,220223.04263833843,797588.8653504751,0.0,885223810.5165514,489178.59239317133,1274.0420367717743
random,multi,3,8.959777439161737e+23,8.977331398760363e+21,5.333333333333333,2.0816659994661326,3767699.7601584136,220223.04263833843,1154840.248259481,401718.55551627744,884978045.8764378,63501.749012549546,2093.145860274633
