算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,RRAM器件预设,交叉阵列尺寸,ADC档位,DAC数量,正负权实现方式,差分相减位置,阵列分组数,PE阵列规模,Tile连接方式,片间带宽
random,43,4,random,4992184.264182465,1912910.9359328174,893297223.1245514,58.30707701478249,0.8974609375,289.4793531894684,P2,512x512,4,128,2,0,1,2x2,2,40
random,43,5,random,4761170.464182462,1920521.5611562848,893297223.1245514,59.06970648678248,0.9326171875,301.78506684303284,P0,512x512,4,128,2,0,1,2x2,2,80
random,43,9,random,5130946.664182619,1248300.8586948751,894144505.3005514,30.12938593901255,0.931640625,429.892128944397,P1,512x512,4,128,2,1,1,2x2,3,40
random,43,17,random,4052540.3458149326,3787740.2723677782,2427300237.7582936,432.8685861873989,0.9052734375,1242.7915289402008,P2,128x128,4,128,2,1,1,2x2,3,80
