algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,xbar_size,adc_choice,dac_choice,pe_num,tile_connection,inter_tile_bw,intra_tile_bw
random,1,4,random,5485963.68298281,1050973.7837000762,1005177951.7005513,61.716277686782476,,1.8607327938079834,512x512,6,4,2x2,3,20,512
random,1,5,random,6353719.467406078,835727.9426917456,884958721.4925516,36.483308086782486,,2.1938202381134033,512x512,7,2,2x2,3,10,2048
