算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,交叉阵列尺寸,ADC档位,DAC档位,PE阵列规模,Tile连接方式,片间带宽,片内带宽
random,1,4,random,5485963.68298281,1050973.7837000762,1005177951.7005513,61.716277686782476,,1.8607327938079834,512x512,6,4,2x2,3,20,512
random,1,5,random,6353719.467406078,835727.9426917456,884958721.4925516,36.483308086782486,,2.1938202381134033,512x512,7,2,2x2,3,10,2048
