算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,交叉阵列尺寸,ADC档位,DAC档位,PE阵列规模,Tile连接方式,片间带宽,片内带宽,附加JSON
random,43,1,random,19369236.16336915,8278727.509742103,2463668374.6358833,392.2305599209127,,5.348066091537476,0,256x256,4,2,8x8,0,20,2048,{}
random,43,2,random,2906511.1688305126,247464.58029043855,1339074743.105671,12.510984479509588,,3.5301010608673096,1,512x512,8,2,2x2,1,40,512,{}
random,43,3,random,4339476.768830552,247464.58029043855,1339074743.105671,12.510984479509588,,3.6386828422546387,0,512x512,8,2,2x2,1,10,512,{}
random,43,4,random,9138563.034055633,2609586.549557825,2270119253.614151,362.2763982366523,,4.842113018035889,0,256x256,6,4,4x4,2,80,512,{}
random,43,5,random,9527585.191086594,2600318.562101825,1976294790.766151,358.2156558366524,,4.819545030593872,0,256x256,4,3,4x4,1,40,1024,{}
random,43,6,random,13753301.628361458,2389702.8504821234,2974016434.4899387,20.267743185109588,,4.258452892303467,0,512x512,8,2,8x8,0,10,2048,{}
random,43,7,random,4708459.467340987,380720.5534083303,1785515257.5927503,40.494517913827224,,4.163530111312866,0,256x256,8,3,2x2,1,10,512,{}
random,43,8,random,18287238.459466625,6710195.726189972,2436485942.379884,246.12635192091264,,5.273382186889648,0,256x256,7,4,8x8,0,10,1024,{}
random,43,9,random,2679600.0802109204,1102740.4859567464,1938064273.14475,354.1522967938272,,4.764196872711182,0,256x256,4,4,2x2,2,80,1024,{}
random,43,10,random,15208828.106615081,3002880.511471623,2269845919.3421516,356.18528463665234,,4.267397165298462,0,256x256,6,2,4x4,0,10,1024,{}
random,43,11,random,13689786.428361451,2389702.8504821234,2974016434.4899387,20.267743185109588,,4.071972131729126,0,512x512,8,2,8x8,3,20,2048,{}
random,43,12,random,11794824.053462109,1412238.5962376806,1634003328.380467,100.6683036858168,,3.7609410285949707,0,512x512,4,3,4x4,3,10,1024,{}
random,43,13,random,4006350.462385285,247464.58029043855,1339074743.105671,12.510984479509588,,3.7789881229400635,0,512x512,8,2,2x2,2,10,2048,{}
random,43,14,random,10114039.515666187,1211328.7317293466,1618538454.3964672,61.5164284858168,,3.5595901012420654,0,512x512,7,2,4x4,2,10,1024,{}
random,43,15,random,3402533.3142074677,576817.8884751098,1422846929.729671,57.09866393550959,,3.5574419498443604,0,512x512,7,1,2x2,0,80,512,{}
random,43,16,random,15226730.591352722,3011655.942773582,3162430927.1619377,92.0790709611096,,4.062420845031738,0,512x512,7,4,8x8,1,80,1024,{}
random,43,17,random,2759761.232382723,1470808.079405812,1937802157.8167503,348.15553199382725,,4.043432950973511,0,256x256,4,2,2x2,2,80,1024,{}
random,43,18,random,9814924.669602385,2609586.549557825,2270119253.614151,362.2763982366523,,4.821023941040039,0,256x256,6,4,4x4,3,40,2048,{}
random,43,19,random,17425430.130503777,4068777.3462641467,3595349848.3779373,139.52886776110958,,4.0647149085998535,0,512x512,6,1,8x8,2,20,2048,{}
random,43,20,random,2775695.300406328,257305.87746011894,1339242007.3616712,16.24337807950959,,3.6183700561523438,0,512x512,8,4,2x2,0,80,2048,{}
random,43,21,random,5986983.999070592,249566.79439907783,1339046865.729671,11.888918879509585,,3.369642972946167,1,512x512,8,1,2x2,0,10,1024,{}
random,43,22,random,3685655.592332505,996710.2951575099,1436281809.729671,93.35082393550958,,3.722928762435913,0,512x512,4,1,2x2,2,40,512,{}
random,43,23,random,3591283.112189931,701340.0627558785,1616001207.1056707,93.97288953550958,,3.8008439540863037,0,512x512,6,2,2x2,1,40,1024,{}
random,43,24,random,3002974.7982904986,247921.65228251895,1339130497.857671,13.755115679509586,,4.461654901504517,0,512x512,8,3,2x2,3,40,2048,{}
random,43,25,random,2689628.900438978,247921.65228251895,1339130497.857671,13.755115679509586,,3.2817862033843994,0,512x512,8,3,2x2,3,80,1024,{}
random,43,26,random,19751661.049740512,9186511.979061246,2831759740.0118837,391.1288879209127,,5.1749303340911865,0,256x256,6,1,8x8,2,20,2048,{}
random,43,27,random,18519022.910656042,3495389.958933782,3595537510.7139378,142.1026805611096,,3.9243431091308594,0,512x512,6,3,8x8,3,10,1024,{}
random,43,28,random,16316102.793199005,3241313.6269871467,3161993048.377938,86.0735077611096,,3.978219985961914,0,512x512,7,1,8x8,1,10,512,{}
random,43,29,random,4715539.467340987,388889.5660419303,1785690001.1447504,44.49236111382722,,3.807629108428955,0,256x256,8,4,2x2,1,10,512,{}
random,43,30,random,19016112.7776311,7835727.679306531,2832159542.379884,398.8405919209127,,4.834557771682739,0,256x256,6,4,8x8,2,40,2048,{}
random,43,31,random,14516988.419423671,5323872.290989743,2264455318.6358833,49.06775473691267,,5.0156261920928955,0,256x256,8,2,8x8,1,40,1024,{}
random,43,32,random,20329269.363368973,8278727.509742103,2463668374.6358833,392.2305599209127,,5.132580280303955,0,256x256,4,2,8x8,3,20,2048,{}
random,43,33,random,14627525.974501792,5323872.290989743,2264455318.6358833,49.06775473691267,,4.657851934432983,0,256x256,8,2,8x8,2,40,512,{}
random,43,34,random,15589923.57221232,3000876.864936782,3162180710.7139378,88.64732056110958,,3.54306697845459,0,512x512,7,3,8x8,2,20,512,{}
random,43,35,random,6461996.9742344385,555163.1256014629,1616056961.8576708,95.21702073550958,,3.3983500003814697,0,512x512,6,3,2x2,0,10,2048,{}
random,43,36,random,2821197.3520242083,1102740.4859567464,2219654033.1447506,354.1522967938272,,4.226526975631714,0,256x256,6,4,2x2,1,80,512,{}
random,43,37,random,9988389.115666231,1211328.7317293466,1618538454.3964672,61.5164284858168,,3.0793280601501465,0,512x512,7,2,4x4,3,20,1024,{}
random,43,38,random,3949707.300438959,247921.65228251895,1339130497.857671,13.755115679509586,,3.183915138244629,0,512x512,8,3,2x2,2,10,1024,{}
random,43,39,random,17660300.208540313,3506169.0367705817,3192577487.1619377,145.5344309611096,,3.874060869216919,0,512x512,4,4,8x8,0,10,1024,{}
random,43,40,random,8587750.443430562,1454654.1073530891,1817580885.614151,49.71717577265231,,4.8845741748809814,0,256x256,8,4,4x4,3,20,512,{}
random,43,41,random,3506218.872118609,564547.350779063,1616168471.3616707,97.70528313550957,,3.338090181350708,0,512x512,6,4,2x2,1,40,2048,{}
random,43,42,random,15620008.988763547,5332664.708218556,2264798006.379884,55.67778673691267,,4.7135491371154785,0,256x256,8,4,8x8,0,10,512,{}
random,43,43,random,9154853.209197683,2534272.852173059,1954203563.630151,216.07505903665228,,3.8958067893981934,0,256x256,7,1,4x4,3,40,1024,{}
random,43,44,random,2679046.704234358,1102740.4859567464,1938064273.14475,354.1522967938272,,4.015244960784912,0,256x256,4,4,2x2,2,80,2048,{}
random,43,45,random,9877249.033244336,1211328.7317293466,1618538454.3964672,61.5164284858168,,3.25388503074646,0,512x512,7,2,4x4,0,10,2048,{}
random,43,46,random,18770685.47470111,7826343.454128931,2831931083.8838835,394.43390392091266,,4.692154884338379,0,256x256,6,3,8x8,2,80,512,{}
random,43,47,random,11658574.281156678,2600318.562101825,1976294790.766151,358.2156558366524,,3.7228150367736816,0,256x256,4,3,4x4,1,10,1024,{}
