algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw
matrixcsv,417,4,matrix_E,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.91796875,44.1643500328064,P1,512x512,7,128,2,0,1,2x2,2,80
matrixcsv,417,5,matrix_E,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.927734375,49.166409969329834,P1,512x512,7,128,2,1,1,2x2,2,80
matrixcsv,417,9,matrix_E,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9140625,47.59669017791748,P2,512x512,7,128,2,0,1,2x2,2,80
matrixcsv,417,10,matrix_E,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.91796875,41.910330057144165,P2,512x512,7,128,2,1,1,2x2,2,80
