algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,xbar_size,adc_choice,dac_choice,pe_num,tile_connection,inter_tile_bw,intra_tile_bw
bo_gp,42,7,bo,3742963.345823113,436485.5739678527,832821831.1245515,7.466428518782486,,2.5282678604125977,512x512,8,1,2x2,0,80,512
bo_gp,42,21,bo,3552217.1687249965,431721.2155879321,832873846.2285514,8.600673318782485,,1.9683520793914795,512x512,8,3,2x2,3,80,2048
bo_gp,42,22,bo,3606291.788109175,431701.84715030564,832839169.4925516,7.8445101187824875,,1.9725408554077148,512x512,8,2,2x2,3,80,2048
