algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,is_pareto,xbar_size,adc_choice,dac_choice,pe_num,tile_connection,inter_tile_bw,intra_tile_bw,extra_json
bo_gp,42,1,init,4577035.194253822,431721.2155879321,832873846.2285514,8.600673318782485,,2.5608582496643066,0,512x512,8,3,2x2,1,20,2048,"{""scalarized_obj"": 32.42017841733983, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,42,2,init,42593489.38763378,16342836.205076309,1642674041.586589,251.6902651575972,,3.6610119342803955,0,256x256,4,4,8x8,1,20,1024,"{""scalarized_obj"": 38.42043051258817, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,42,3,init,4191380.506649277,2324432.466309404,1200737393.5429137,132.46970327750816,,4.007105112075806,0,256x256,7,1,2x2,0,80,1024,"{""scalarized_obj"": 34.0887681897451, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,42,4,init,42013850.98763264,16326480.400301907,1642521735.9225888,248.95140435759717,,3.847177028656006,0,256x256,4,3,8x8,0,80,1024,"{""scalarized_obj"": 38.405708612843945, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,42,5,init,17067631.380198468,3849696.154141408,1077683642.1178398,63.220881471206624,,2.3299598693847656,0,512x512,4,1,4x4,1,20,1024,"{""scalarized_obj"": 35.97581538639965, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,42,6,init,29575219.175511073,7578538.385046603,2344793379.3769155,74.90488182494107,,3.753683090209961,0,512x512,6,1,8x8,2,10,1024,"{""scalarized_obj"": 37.35837108308563, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,42,7,bo,3742963.345823113,436485.5739678527,832821831.1245515,7.466428518782486,,2.5282678604125977,1,512x512,8,1,2x2,0,80,512,"{""scalarized_obj"": 32.22996741473978, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,42,8,bo,4435364.463010588,1084841.5460518848,884941383.1245514,36.10522648678249,,2.164740800857544,0,512x512,7,1,2x2,0,80,512,"{""scalarized_obj"": 33.32227238382723, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,42,9,bo,11563341.134898776,2699413.1621822165,1152943099.0836034,31.308010136344617,,2.8118200302124023,0,256x256,8,4,4x4,3,80,512,"{""scalarized_obj"": 35.24501256741427, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,42,10,bo,3595115.487670185,446724.43596553215,832943199.7005515,10.112999718782488,,2.460198163986206,0,512x512,8,4,2x2,0,80,512,"{""scalarized_obj"": 32.21288160123788, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,42,11,bo,5664400.487670253,446724.43596553215,832943199.7005515,10.112999718782488,,2.470966100692749,0,512x512,8,4,2x2,3,10,512,"{""scalarized_obj"": 32.66750644590176, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,42,12,bo,5929641.463199158,446724.43596553215,832943199.7005515,10.112999718782488,,2.4023869037628174,0,512x512,8,4,2x2,0,10,512,"{""scalarized_obj"": 32.71326912620809, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,42,13,bo,3559405.1687249965,446724.43596553215,832943199.7005515,10.112999718782488,,2.614346981048584,0,512x512,8,4,2x2,3,80,2048,"{""scalarized_obj"": 32.20289893231219, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,42,14,bo,3560088.087670309,446724.43596553215,832943199.7005515,10.112999718782488,,2.3619019985198975,0,512x512,8,4,2x2,3,80,512,"{""scalarized_obj"": 32.20309077707725, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,42,15,bo,4289185.50423463,721046.8869365482,1118661829.5109136,28.010626509508167,,3.397590160369873,0,256x256,8,4,2x2,3,20,2048,"{""scalarized_obj"": 32.92714828106587, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,42,16,bo,3859145.5687248856,446724.43596553215,832943199.7005515,10.112999718782488,,2.5009419918060303,0,512x512,8,4,2x2,3,40,2048,"{""scalarized_obj"": 32.28375127074604, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,42,17,bo,3559632.808373434,446724.43596553215,832943199.7005515,10.112999718782488,,2.794494867324829,0,512x512,8,4,2x2,3,80,1024,"{""scalarized_obj"": 32.20296288465667, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,42,18,bo,6686052.3675530655,1050973.7837000762,893418591.7005514,61.716277686782476,,2.3069000244140625,0,512x512,4,4,2x2,3,10,2048,"{""scalarized_obj"": 33.70287614038065, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,42,19,bo,4581739.96755312,1050973.7837000762,893418591.7005514,61.716277686782476,,1.9004909992218018,0,512x512,4,4,2x2,3,80,2048,"{""scalarized_obj"": 33.32493142024659, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,42,20,bo,32469761.649742987,11148534.397241248,1509865337.586589,35.008845925597164,,3.501343011856079,0,256x256,8,4,8x8,3,80,512,"{""scalarized_obj"": 37.74969578776558, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,42,21,bo,3552217.1687249965,431721.2155879321,832873846.2285514,8.600673318782485,,1.9683520793914795,1,512x512,8,3,2x2,3,80,2048,"{""scalarized_obj"": 32.16669899246325, ""weights"": [1.0, 1.0, 0.2]}"
bo_gp,42,22,bo,3606291.788109175,431701.84715030564,832839169.4925516,7.8445101187824875,,1.9725408554077148,1,512x512,8,2,2x2,3,80,2048,"{""scalarized_obj"": 32.181753872653076, ""weights"": [1.0, 1.0, 0.2]}"
