算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,RRAM器件预设,交叉阵列尺寸,ADC档位,DAC数量,正负权实现方式,差分相减位置,阵列分组数,PE阵列规模,Tile连接方式,片间带宽,附加JSON
matrixcsv,42,1,matrix_A,4430024.989793121,9447367.799596138,2426702222.653233,428.90037651148873,0.84375,499.5961043834686,1,P3,128x128,4,32,2,1,1,2x2,2,80,"{""matrix_name"": ""A"", ""matrix_point_id"": ""A_025"", ""matrix_purpose"": ""主迁移矩阵：观察器件退化下的最优设计迁移"", ""source_index"": 1, ""accuracy_violation"": 0.036250000000000004}"
matrixcsv,42,2,matrix_A,14995379.256951638,14234031.53552794,2354348727.1181145,433.3304938920804,0.830078125,498.107693195343,0,P3,128x128,4,32,2,1,1,4x4,2,80,"{""matrix_name"": ""A"", ""matrix_point_id"": ""A_026"", ""matrix_purpose"": ""主迁移矩阵：观察器件退化下的最优设计迁移"", ""source_index"": 2, ""accuracy_violation"": 0.049921875000000004}"
matrixcsv,42,3,matrix_A,4430024.989793121,9447367.799596138,3083014542.653233,428.90037651148873,0.78515625,484.78695702552795,0,P3,128x128,6,32,2,1,1,2x2,2,80,"{""matrix_name"": ""A"", ""matrix_point_id"": ""A_027"", ""matrix_purpose"": ""主迁移矩阵：观察器件退化下的最优设计迁移"", ""source_index"": 3, ""accuracy_violation"": 0.09484375}"
matrixcsv,42,4,matrix_A,14995379.256951638,14234031.53552794,3018330807.1181145,433.3304938920804,0.759765625,487.90866017341614,0,P3,128x128,6,32,2,1,1,4x4,2,80,"{""matrix_name"": ""A"", ""matrix_point_id"": ""A_028"", ""matrix_purpose"": ""主迁移矩阵：观察器件退化下的最优设计迁移"", ""source_index"": 4, ""accuracy_violation"": 0.120234375}"
matrixcsv,42,5,matrix_A,5997133.2533934815,3193060.1506895665,894254493.5562104,29.559223145690417,0.8701171875,156.12586498260498,1,P3,512x512,4,32,2,1,1,2x2,2,80,"{""matrix_name"": ""A"", ""matrix_point_id"": ""A_029"", ""matrix_purpose"": ""主迁移矩阵：观察器件退化下的最优设计迁移"", ""source_index"": 5, ""accuracy_violation"": 0.009882812500000004}"
matrixcsv,42,6,matrix_A,17346484.969408944,5309737.221154697,1078847382.6426022,31.531321697326867,0.849609375,157.9990520477295,0,P3,512x512,4,32,2,1,1,4x4,2,80,"{""matrix_name"": ""A"", ""matrix_point_id"": ""A_030"", ""matrix_purpose"": ""主迁移矩阵：观察器件退化下的最优设计迁移"", ""source_index"": 6, ""accuracy_violation"": 0.030390625000000004}"
matrixcsv,42,7,matrix_A,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.8583984375,162.66213989257812,0,P3,512x512,6,32,2,1,1,2x2,2,80,"{""matrix_name"": ""A"", ""matrix_point_id"": ""A_031"", ""matrix_purpose"": ""主迁移矩阵：观察器件退化下的最优设计迁移"", ""source_index"": 7, ""accuracy_violation"": 0.021601562500000004}"
matrixcsv,42,8,matrix_A,17346484.969408944,5309737.221154697,1214711702.6426022,31.531321697326867,0.767578125,160.18244791030884,0,P3,512x512,6,32,2,1,1,4x4,2,80,"{""matrix_name"": ""A"", ""matrix_point_id"": ""A_032"", ""matrix_purpose"": ""主迁移矩阵：观察器件退化下的最优设计迁移"", ""source_index"": 8, ""accuracy_violation"": 0.112421875}"
