algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw
random,44,3,random,4565070.698564917,3787740.2723677782,2427300237.7582936,432.8685861873989,0.912109375,491.5275766849518,P2,128x128,4,128,2,1,1,2x2,3,40
random,44,5,random,6228147.0533935,5802139.1135352645,893407211.3802106,57.43931540250036,0.9208984375,164.41341423988342,P1,512x512,4,32,2,0,1,2x2,2,40
random,44,16,random,4599621.38979314,17054874.0659343,2426702222.653233,838.9382624293112,0.9248046875,503.2344288825989,P1,128x128,4,32,2,0,1,2x2,3,80
random,44,19,random,4761170.464182462,1252106.1713066087,1005903865.3005512,30.510700675012544,0.9326171875,165.626225233078,P0,512x512,6,128,2,1,1,2x2,2,80
