algo,track,n_seeds,mean_hypervolume,std_hypervolume,mean_pareto_size,std_pareto_size,mean_best_latency_ns,std_best_latency_ns,mean_best_energy_nj,std_best_energy_nj,mean_best_area_um2,std_best_area_um2,mean_wall_time_s
bo_gp,single,3,1.4339423047872383e+24,4.769956542545473e+21,4,1.0,3380830.9553092653,178826.20918594717,431701.84715030564,0.0,832821831.1245515,0.0,68.78351696332295
mobo,multi,3,1.4341205578191895e+24,5.6620343503022083e+20,4.333333333333333,1.5275252316519468,3372791.6416044366,31929.912313387013,433302.8789020301,2756.3117921603903,832821831.1245515,0.0,48.565257708231606
nsga2,multi,3,1.3998707894474907e+24,5.995150857155198e+22,3,1.7320508075688772,3753908.0227493877,700198.3317228059,525662.0223862291,162743.7973966945,850212353.4925514,30121268.31153887,55.17860492070516
