file_name,device_count,success_count,failure_count,failure_rate,mean_abs_error,p95_abs_error,target_levels
pattern_PE-2026.03.21 02-00-32-_deal.csv,262144,261990,154,0.000587,0.160627,0.285000,"20, 45"
pattern_PE-2026.03.21 21-09-54-_deal.csv,262144,261680,464,0.001770,0.177292,0.285000,"20, 45"
