retention_view,pair_count,pre_mean_pmu,post_mean_pmu,post_over_pre_scale,delta_mean_pmu,delta_std_pmu,delta_min_pmu,delta_max_pmu
read2,9,4.4619,4.0313,0.9035,-0.4306,1.8465,-3.5120,2.9600
read9,9,4.6524,4.6874,1.0075,0.0350,0.9899,-1.4650,1.6220
