robust_rank,candidate_index,scenario_count,matched_scenarios,mean_accuracy,std_accuracy,worst_accuracy,mean_yield,mean_latency_ns,mean_energy_nj,mean_area_um2,adc_choice,dac_num,group_num,inter_tile_bw,pe_num,rram_preset,sub_position,tile_connection,xbar_polarity,xbar_size
1,2,2,2,0.9420572916666666,0.0,0.9375,1.0,5997133.2533934815,3193060.1506895665,894254493.5562104,4,32,1,80,2x2,P1,1,2,2,512x512
2,4,2,2,0.9368489583333334,0.0,0.92578125,1.0,5997133.2533934815,3193060.1506895665,894254493.5562104,4,32,1,80,2x2,P2,1,2,2,512x512
3,1,2,2,0.931640625,0.0,0.923828125,1.0,4430024.989793121,9447367.799596138,2426702222.653233,4,32,1,80,2x2,P1,1,2,2,128x128
4,3,2,2,0.9293619791666667,0.00032552083333331483,0.9140625,1.0,4430024.989793121,9447367.799596138,2426702222.653233,4,32,1,80,2x2,P2,1,2,2,128x128
