算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,交叉阵列尺寸,ADC档位,DAC档位,PE阵列规模,Tile连接方式,片间带宽,片内带宽
random,43,2,random,3968185.9070545863,431701.84715030564,832839169.4925516,7.8445101187824875,,2.023552894592285,512x512,8,2,2x2,1,40,512
random,43,21,random,6076541.893113103,436485.5739678527,832821831.1245515,7.466428518782486,,2.508173942565918,512x512,8,1,2x2,0,10,1024
random,43,25,random,3552444.808373434,431721.2155879321,832873846.2285514,8.600673318782485,,1.9281949996948242,512x512,8,3,2x2,3,80,1024
