算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,RRAM器件预设,交叉阵列尺寸,ADC档位,DAC数量,正负权实现方式,差分相减位置,阵列分组数,PE阵列规模,Tile连接方式,片间带宽
random,44,1,random,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.900390625,17.981540203094482,P2,512x512,7,128,2,1,1,2x2,2,80
random,44,14,random,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9033203125,18.05021858215332,P2,512x512,7,128,2,0,1,2x2,2,80
random,44,17,random,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9326171875,18.259483337402344,P1,512x512,7,128,2,0,1,2x2,2,80
