iter,objective,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,xbar_size,adc_choice,dac_choice,pe_num,tile_connection,inter_tile_bw,intra_tile_bw
1,32.42017841733983,4577035.194253822,431721.2155879321,832873846.2285514,8.600673318782485,,1.088407039642334,"(512, 512)",8,3,"(2, 2)",1,20,2048
2,38.42043051258817,42593489.38763378,16342836.205076309,1642674041.586589,251.6902651575972,,1.6562271118164062,"(256, 256)",4,4,"(8, 8)",1,20,1024
3,35.12592284377885,6164653.6939234715,4448843.521209404,1213926513.5429137,219.72218327750815,,1.138077974319458,"(256, 256)",4,1,"(2, 2)",1,20,512
