algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw
random,42,9,random,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9013671875,174.72058176994324,P2,512x512,7,128,2,0,1,2x2,2,80
random,42,12,random,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.9140625,174.18318033218384,P1,512x512,7,128,2,0,1,2x2,2,80
random,42,13,random,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.92578125,162.21344375610352,P1,512x512,7,128,2,1,1,2x2,2,80
random,42,30,random,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9287109375,210.4554750919342,P2,512x512,7,128,2,1,1,2x2,2,80
