robust_rank,candidate_index,scenario_count,matched_scenarios,mean_accuracy,std_accuracy,worst_accuracy,mean_yield,mean_latency_ns,mean_energy_nj,mean_area_um2,adc_choice,dac_num,group_num,inter_tile_bw,pe_num,rram_preset,sub_position,tile_connection,xbar_polarity,xbar_size
1,1,2,2,0.9375,0.0,0.931640625,1.0,4430024.989793121,9452907.30945102,2426702222.653233,4,32,1,80,2x2,P0,1,2,2,128x128
2,2,2,2,0.9375,0.0,0.931640625,1.0,14995379.256951638,14239571.045382822,2354348727.1181145,4,32,1,80,4x4,P0,1,2,2,128x128
