algo,track,seed,total_evaluated,pareto_size,hypervolume,hv_ref_lat,hv_ref_en,hv_ref_area,best_scalarized_obj,best_latency_ns,best_energy_nj,best_area_um2,best_accuracy,wall_time_s
random,multi,42,500,4,1.7135312302962508e+24,50818113.13747919,21022662.4757832,2579586847.746608,,3096095.9946542145,431701.84715030564,832821831.1245515,,1504.2648468017578
random,multi,44,500,7,1.710586984387967e+24,50818113.13747919,21022662.4757832,2579586847.746608,,3194958.709302584,431701.84715030564,832821831.1245515,,1509.725625038147
random,multi,43,500,6,1.7140182754228145e+24,50818113.13747919,21022662.4757832,2579586847.746608,,3096095.9946542145,431701.84715030564,832821831.1245515,,1513.726175069809
