算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,RRAM器件预设,交叉阵列尺寸,ADC档位,DAC数量,正负权实现方式,差分相减位置,阵列分组数,PE阵列规模,Tile连接方式,片间带宽
matrixcsv,42,1,matrix_A,4430024.989793121,9447367.799596138,2426702222.653233,428.90037651148873,0.90234375,500.68502712249756,P2,128x128,4,32,2,1,1,2x2,2,80
matrixcsv,42,5,matrix_A,5997133.2533934815,3193060.1506895665,894254493.5562104,29.559223145690417,0.9296875,162.5419638156891,P2,512x512,4,32,2,1,1,2x2,2,80
