算法,优化轨道,种子数量,HV均值,HV标准差,帕累托规模均值,帕累托规模标准差,最优延迟均值_ns,最优延迟标准差_ns,最优能耗均值_nJ,最优能耗标准差_nJ,最优面积均值_um2,最优面积标准差_um2,墙钟时间均值_s
mobo,多目标,3,2.8071280520569453e+21,0.0,4,0.0,4328935.425119968,0.0,797588.8653504751,0.0,884941383.1245514,0.0,458.23448340098065
nsga2,多目标,3,2.8071280520569453e+21,0.0,4,0.0,4328935.425119968,0.0,797588.8653504751,0.0,884941383.1245514,0.0,407.2367160320282
random,多目标,3,2.8071280520569453e+21,0.0,2.6666666666666665,0.5773502691896257,4328935.425119968,0.0,797588.8653504751,0.0,884941383.1245514,0.0,797.3588681221008
