算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,交叉阵列尺寸,ADC档位,DAC档位,PE阵列规模,Tile连接方式,片间带宽,片内带宽
random,42,94,random,2439143.1307558226,380720.5534083303,1785515257.5927503,40.494517913827224,,4.256577014923096,256x256,8,3,2x2,3,40,2048
random,42,97,random,2906231.7645336376,247464.58029043855,1339074743.105671,12.510984479509588,,3.309237003326416,512x512,8,2,2x2,1,40,1024
random,42,98,random,3166194.497020025,249566.79439907783,1339046865.729671,11.888918879509585,,3.7110981941223145,512x512,8,1,2x2,3,40,512
