algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,is_pareto,xbar_size,adc_choice,dac_choice,pe_num,tile_connection,inter_tile_bw,intra_tile_bw,extra_json
random,42,1,random,4577035.194253822,431721.2155879321,832873846.2285514,8.600673318782485,,1.9020397663116455,0,512x512,8,3,2x2,1,20,2048,{}
random,42,2,random,42593489.38763378,16342836.205076309,1642674041.586589,251.6902651575972,,3.2237799167633057,0,256x256,4,4,8x8,1,20,1024,{}
random,42,3,random,4191380.506649277,2324432.466309404,1200737393.5429137,132.46970327750816,,2.7836861610412598,0,256x256,7,1,2x2,0,80,1024,{}
random,42,4,random,42013850.98763264,16326480.400301907,1642521735.9225888,248.95140435759717,,3.6683099269866943,0,256x256,4,3,8x8,0,80,1024,{}
random,42,5,random,17067631.380198468,3849696.154141408,1077683642.1178398,63.220881471206624,,2.326918125152588,0,512x512,4,1,4x4,1,20,1024,{}
random,42,6,random,29575219.175511073,7578538.385046603,2344793379.3769155,74.90488182494107,,3.5802149772644043,0,512x512,6,1,8x8,2,10,1024,{}
random,42,7,random,38393944.30501663,14010691.921595788,1624323961.586589,155.26274515759715,,3.8388237953186035,0,256x256,7,4,8x8,3,80,2048,{}
random,42,8,random,3904375.98396252,2324432.466309404,1200737393.5429137,132.46970327750816,,2.959890842437744,0,256x256,7,1,2x2,2,80,2048,{}
random,42,9,random,38076636.87044523,14010691.921595788,1624323961.586589,155.26274515759715,,3.760213851928711,0,256x256,7,4,8x8,0,80,1024,{}
random,42,10,random,15308272.065243075,7362470.008665147,1439798738.1236033,224.8973879603446,,2.781073808670044,0,256x256,6,1,4x4,0,80,2048,{}
random,42,11,random,42296756.99540365,17253071.6397539,1887877903.090589,247.58197395759717,,3.5952579975128174,0,256x256,6,2,8x8,1,40,512,{}
random,42,12,random,26165336.058323096,6025189.148559784,2062169379.376916,46.20600182494107,,2.971034049987793,0,512x512,7,1,8x8,3,80,1024,{}
random,42,13,random,5354692.326263587,2911707.225850988,1390358360.9669135,220.3439992775082,,2.588791847229004,0,256x256,6,2,2x2,3,20,1024,{}
random,42,14,random,43357615.835679635,16326480.400301907,1642521735.9225888,248.95140435759717,,3.43300199508667,0,256x256,4,3,8x8,0,10,512,{}
random,42,15,random,15271301.443919996,2305871.6484396267,1067673108.2298399,41.83287987120663,,2.2967700958251953,0,512x512,7,4,4x4,0,20,1024,{}
random,42,16,random,4151525.6279078363,2324432.466309404,1200737393.5429137,132.46970327750816,,3.1504628658294678,0,256x256,7,1,2x2,1,80,1024,{}
random,42,17,random,14543176.848446392,4828817.613848307,1239606738.1236033,136.7847479603446,,3.838857889175415,0,256x256,7,1,4x4,2,40,512,{}
random,42,18,random,15903481.085247833,5740412.947882585,1439827635.4036036,225.52706636034463,,3.2239842414855957,0,256x256,6,2,4x4,2,40,512,{}
random,42,19,random,6435615.793255627,1679778.188230988,1200764760.9669135,133.09151927750816,,3.239299774169922,0,256x256,7,2,2x2,3,10,2048,{}
random,42,20,random,8163711.36348631,2911707.225850988,1213953880.9669135,220.3439992775082,,3.2922561168670654,0,256x256,4,2,2x2,1,10,2048,{}
random,42,21,random,15466268.725524075,4931765.080326505,1439885429.9636033,226.78642316034464,,3.168503999710083,0,256x256,6,3,4x4,1,40,512,{}
random,42,22,random,3981011.355787073,1373467.2521997802,1200928965.5109136,136.82241527750816,,2.695345878601074,0,256x256,7,4,2x2,0,80,512,{}
random,42,23,random,42600948.63568065,16342836.205076309,1642674041.586589,251.6902651575972,,4.25255823135376,0,256x256,4,4,8x8,1,20,512,{}
random,42,24,random,14305759.286498193,2305871.6484396267,1067673108.2298399,41.83287987120663,,2.4310998916625977,0,512x512,7,4,4x4,1,80,2048,{}
random,42,25,random,4370781.293492555,2159155.28117978,1390522565.5109138,224.07489527750815,,2.937441110610962,0,256x256,6,4,2x2,0,80,512,{}
random,42,26,random,16780460.8169167,2712279.8266901076,1067525562.1178398,38.966161471206625,,1.978726863861084,0,512x512,7,1,4x4,0,10,512,{}
random,42,27,random,5321473.498610935,716152.2491661077,1118470257.5429137,23.657914509508167,,2.9581449031829834,0,256x256,8,1,2x2,0,20,512,{}
random,42,28,random,16049534.545794716,5740412.947882585,1253562035.4036033,225.52706636034463,,2.778959035873413,0,256x256,4,2,4x4,3,40,2048,{}
random,42,29,random,42010121.3636092,16326480.400301907,1887954055.922589,248.95140435759717,,3.943371057510376,0,256x256,6,3,8x8,1,80,2048,{}
random,42,30,random,15896888.145794708,5740412.947882585,1439827635.4036036,225.52706636034463,,2.615123987197876,0,256x256,6,2,4x4,2,40,2048,{}
random,42,31,random,4698028.706174801,1084841.5460518848,884941383.1245514,36.10522648678249,,2.265630006790161,0,512x512,7,1,2x2,3,40,2048,{}
random,42,32,random,5204018.004857665,713582.3728580761,884993398.2285513,37.23947128678249,,2.2143611907958984,0,512x512,7,3,2x2,0,20,512,{}
random,42,33,random,21770704.44611668,4430544.468251009,1939575935.5369165,10.872590416941065,,2.888328790664673,0,512x512,8,2,8x8,1,80,2048,{}
random,42,34,random,4367924.353062867,2159155.28117978,1390522565.5109138,224.07489527750815,,2.9013612270355225,0,256x256,6,4,2x2,0,80,2048,{}
random,42,35,random,28885696.117357466,6511346.114991731,2082115752.496916,78.10182102494106,,2.947114944458008,0,512x512,4,4,8x8,1,20,1024,{}
random,42,36,random,4953014.043482394,2145356.7062805803,1390413095.8149137,221.58763127750822,,2.9897241592407227,0,256x256,6,3,2x2,0,40,2048,{}
random,42,37,random,16429431.373167193,3849696.154141408,1213547962.1178398,63.220881471206624,,2.273979902267456,0,512x512,6,1,4x4,1,40,512,{}
random,42,38,random,18183398.54494482,3173273.222977087,1213569040.13384,63.63041267120662,,2.1645753383636475,0,512x512,6,2,4x4,1,10,2048,{}
random,42,39,random,5089549.498610926,716152.2491661077,1118470257.5429137,23.657914509508167,,3.16436505317688,0,256x256,8,1,2x2,1,20,512,{}
random,42,40,random,30262728.427448913,6494229.481494131,2344915767.856916,76.27499862494106,,3.3459529876708984,0,512x512,6,3,8x8,3,10,2048,{}
random,42,41,random,21882552.34377295,4430544.468251009,1939575935.5369165,10.872590416941065,,3.1480109691619873,0,512x512,8,2,8x8,1,40,1024,{}
random,42,42,random,5269194.053062726,2145356.7062805803,1390413095.8149137,221.58763127750822,,3.0977251529693604,0,256x256,6,3,2x2,3,20,2048,{}
random,42,43,random,30351768.14379433,6853831.857660688,2344834175.536916,75.36158742494106,,2.7624151706695557,0,512x512,6,2,8x8,3,10,1024,{}
random,42,44,random,14846607.14465151,2712279.8266901076,1067525562.1178398,38.966161471206625,,2.131762981414795,0,512x512,7,1,4x4,0,40,2048,{}
random,42,45,random,5965777.132936206,431701.84715030564,832839169.4925516,7.8445101187824875,,2.685213804244995,0,512x512,8,2,2x2,1,10,512,{}
random,42,46,random,16861037.122045036,2856008.628690927,1077831188.22984,66.08759987120662,,2.180579900741577,0,512x512,4,4,4x4,2,20,1024,{}
random,42,47,random,4953014.043482394,2145356.7062805803,1214008615.8149135,221.58763127750822,,2.6463911533355713,0,256x256,4,3,2x2,0,40,2048,{}
random,42,48,random,4962705.733912081,2159155.28117978,1214118085.5109136,224.07489527750815,,2.5739052295684814,0,256x256,4,4,2x2,0,40,512,{}
random,42,49,random,13248192.334898926,2699413.1621822165,1152943099.0836034,31.308010136344617,,3.0045111179351807,0,256x256,8,4,4x4,2,20,512,{}
random,42,50,random,14538342.026180767,4828817.613848307,1239606738.1236033,136.7847479603446,,2.940023899078369,0,256x256,7,1,4x4,2,40,2048,{}
random,42,51,random,11750508.127312696,2684600.1489854166,1152827509.9636033,28.789296536344615,,3.3568997383117676,0,256x256,8,3,4x4,0,40,1024,{}
random,42,52,random,4175517.1687248633,431721.2155879321,832873846.2285514,8.600673318782485,,3.0794830322265625,0,512x512,8,3,2x2,2,20,2048,{}
random,42,53,random,15853002.325560633,2856008.628690927,1077831188.22984,66.08759987120662,,2.826842784881592,0,512x512,4,4,4x4,1,80,2048,{}
random,42,54,random,26590541.264623106,5569777.573647311,2062291767.856916,47.57611862494107,,2.9300153255462646,0,512x512,7,3,8x8,1,10,2048,{}
random,42,55,random,4830219.825705963,1920521.5611562848,1005056583.1245512,59.06970648678248,,2.6805269718170166,0,512x512,6,1,2x2,3,80,2048,{}
random,42,56,random,3941052.1239511357,1373467.2521997802,1200928965.5109136,136.82241527750816,,3.1653361320495605,0,256x256,7,4,2x2,1,80,2048,{}
random,42,57,random,20457323.9220452,2856008.628690927,1077831188.22984,66.08759987120662,,2.227229118347168,0,512x512,4,4,4x4,3,10,1024,{}
random,42,58,random,38648104.401305564,13994336.11682139,1624171655.9225888,152.52388435759715,,3.2079570293426514,0,256x256,7,3,8x8,1,20,512,{}
random,42,59,random,22103073.943773475,4430544.468251009,1939575935.5369165,10.872590416941065,,2.9589459896087646,0,512x512,8,2,8x8,1,20,1024,{}
random,42,60,random,22048999.324389033,4430253.917421347,1939657527.8569164,11.786001616941066,,2.9871270656585693,0,512x512,8,3,8x8,1,20,1024,{}
random,42,61,random,32612423.528915066,11143106.471518511,1509598802.674589,30.215839525597165,,3.2684760093688965,0,256x256,8,1,8x8,3,80,512,{}
random,42,62,random,43946999.72333428,17253071.6397539,1887877903.090589,247.58197395759717,,3.4901211261749268,0,256x256,6,2,8x8,3,20,2048,{}
random,42,63,random,38140628.87044515,13994336.11682139,1624171655.9225888,152.52388435759715,,3.3464629650115967,0,256x256,7,3,8x8,2,80,1024,{}
random,42,64,random,42600688.91485269,19111511.34162109,1642407506.674589,246.8972587575972,,3.6712870597839355,0,256x256,4,1,8x8,2,40,512,{}
