candidate_index,scenario_name,mode,adc_choice,dac_num,group_num,inter_tile_bw,pe_num,rram_preset,sub_position,tile_connection,xbar_polarity,xbar_size,matched,mean_accuracy,worst_accuracy,scenario_yield,latency_ns,energy_nj,area_um2
1,meas_cycle_strong,robust_summary,7,128,1,80,2x2,P1,0,2,2,512x512,1,0.916015625,0.912109375,1.0,4328935.425119968,1077230.9208284174,884941383.1245514
1,meas_cycle_weak,robust_summary,7,128,1,80,2x2,P1,0,2,2,512x512,1,0.916015625,0.912109375,1.0,4328935.425119968,1077230.9208284174,884941383.1245514
2,meas_cycle_strong,robust_summary,7,128,1,80,2x2,P1,1,2,2,512x512,1,0.916015625,0.912109375,1.0,4328935.425119968,797588.8653504751,885788665.3005514
2,meas_cycle_weak,robust_summary,7,128,1,80,2x2,P1,1,2,2,512x512,1,0.916015625,0.912109375,1.0,4328935.425119968,797588.8653504751,885788665.3005514
3,meas_cycle_strong,robust_summary,7,128,1,80,2x2,P2,0,2,2,512x512,1,0.919921875,0.9140625,1.0,4328935.425119968,1077230.9208284174,884941383.1245514
3,meas_cycle_weak,robust_summary,7,128,1,80,2x2,P2,0,2,2,512x512,1,0.919921875,0.9140625,1.0,4328935.425119968,1077230.9208284174,884941383.1245514
4,meas_cycle_strong,robust_summary,7,128,1,80,2x2,P2,1,2,2,512x512,1,0.919921875,0.9140625,1.0,4328935.425119968,797588.8653504751,885788665.3005514
4,meas_cycle_weak,robust_summary,7,128,1,80,2x2,P2,1,2,2,512x512,1,0.919921875,0.9140625,1.0,4328935.425119968,797588.8653504751,885788665.3005514
