idx,stage,gen,latency_ns,energy_nj,area_um2,power_w,accuracy,xbar_size,adc_choice,dac_choice,pe_num,tile_connection,inter_tile_bw,intra_tile_bw
0,init,0,4577035.194253822,431721.2155879321,832873846.2285514,8.600673318782485,,"(512, 512)",8,3,"(2, 2)",1,20,2048
1,init,0,42593489.38763378,16342836.205076309,1642674041.586589,251.6902651575972,,"(256, 256)",4,4,"(8, 8)",1,20,1024
2,init,0,4191380.506649277,2324432.466309404,1200737393.5429137,132.46970327750816,,"(256, 256)",7,1,"(2, 2)",0,80,1024
3,init,0,42013850.98763264,16326480.400301907,1642521735.9225888,248.95140435759717,,"(256, 256)",4,3,"(8, 8)",0,80,1024
4,gen,1,3585919.00837331,431721.2155879321,832873846.2285514,8.600673318782485,,"(512, 512)",8,3,"(2, 2)",1,80,1024
