algo,seed,eval_index,phase,latency_ns,energy_nj,area_um2,power_w,accuracy,elapsed_s,xbar_size,adc_choice,dac_choice,pe_num,tile_connection,inter_tile_bw,intra_tile_bw
bo_gp,43,7,bo,3394881.9586033407,708737.872341068,1118497624.9669137,24.27973050950817,,3.3551089763641357,256x256,8,2,2x2,1,80,512
bo_gp,43,15,bo,3606974.7070544874,431701.84715030564,832839169.4925516,7.8445101187824875,,2.7921969890594482,512x512,8,2,2x2,3,80,512
bo_gp,43,17,bo,3742280.4268778004,436485.5739678527,832821831.1245515,7.466428518782486,,2.268571138381958,512x512,8,1,2x2,0,80,2048
bo_gp,43,22,bo,3552900.087670309,431721.2155879321,832873846.2285514,8.600673318782485,,2.0179250240325928,512x512,8,3,2x2,3,80,512
