xbar_size,adc_choice,dac_choice,pe_num,tile_connection,inter_tile_bw,intra_tile_bw,run_accuracy,enable_saf,enable_variation,enable_rratio,fixed_qrange,latency_ns,energy_nj,area_um2,power_w,accuracy,run_id,trial_dir,algo,seed,eval_index,phase,elapsed_s,is_pareto,nn,dataset_module,weights_path,base_config_path,device,dataset_signature
512x512,7,1,2x2,0,80,512,0,1,0,0,0,4435364.463010588,1084841.5460518848,884941383.1245514,36.10522648678249,,run_20260408_172349,random_seed43,random,43,15,random,2.0228967666625977,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,7,4,8x8,1,80,1024,0,1,0,0,0,25828856.600170534,5586894.207144911,2062454952.496916,49.402941024941065,,run_20260408_172349,random_seed43,random,43,16,random,2.546877861022949,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
256x256,4,2,2x2,2,80,1024,0,1,0,0,0,4157539.926962781,2911707.225850988,1213953880.9669135,220.3439992775082,,run_20260408_172349,random_seed43,random,43,17,random,2.7434749603271484,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
256x256,6,4,4x4,3,40,2048,0,1,0,0,0,15971924.586070923,4946578.093523305,1440001019.0836034,229.3051367603446,,run_20260408_172349,random_seed43,random,43,18,random,2.953956127166748,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,6,1,8x8,2,20,2048,0,1,0,0,0,29130312.481370255,7578538.385046603,2344793379.3769155,74.90488182494107,,run_20260408_172349,random_seed43,random,43,19,random,2.458085060119629,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,8,4,2x2,0,80,2048,0,1,0,0,0,3594432.5687248725,446724.43596553215,832943199.7005515,10.112999718782488,,run_20260408_172349,random_seed43,random,43,20,random,1.7278919219970703,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,8,1,2x2,0,10,1024,0,1,0,0,0,6076541.893113103,436485.5739678527,832821831.1245515,7.466428518782486,,run_20260408_172349,random_seed43,random,43,21,random,1.6563489437103271,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,4,1,2x2,2,40,512,0,1,0,0,0,4994157.14113559,1920521.5611562848,893297223.1245514,59.06970648678248,,run_20260408_172349,random_seed43,random,43,22,random,1.471851110458374,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,6,2,2x2,1,40,1024,0,1,0,0,0,5024368.225414005,1329213.4080361456,1005073921.4925513,59.44778808678249,,run_20260408_172349,random_seed43,random,43,23,random,1.881174087524414,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,8,3,2x2,3,40,2048,0,1,0,0,0,3851957.568724886,431721.2155879321,832873846.2285514,8.600673318782485,,run_20260408_172349,random_seed43,random,43,24,random,2.003006935119629,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,8,3,2x2,3,80,1024,0,1,0,0,0,3552444.808373434,431721.2155879321,832873846.2285514,8.600673318782485,,run_20260408_172349,random_seed43,random,43,25,random,2.1212821006774902,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
256x256,6,1,8x8,2,20,2048,0,1,0,0,0,43112997.64278307,19111511.34162109,1887839826.6745892,246.8972587575972,,run_20260408_172349,random_seed43,random,43,26,random,3.4326021671295166,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,6,3,8x8,3,10,1024,0,1,0,0,0,30266489.92158954,6494229.481494131,2344915767.856916,76.27499862494106,,run_20260408_172349,random_seed43,random,43,27,random,2.601531982421875,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,7,1,8x8,1,10,512,0,1,0,0,0,26826315.929417312,6025189.148559784,2062169379.376916,46.20600182494107,,run_20260408_172349,random_seed43,random,43,28,random,2.6487247943878174,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
256x256,8,4,2x2,1,10,512,0,1,0,0,0,7110726.538599587,721046.8869365482,1118661829.5109136,28.010626509508167,,run_20260408_172349,random_seed43,random,43,29,random,2.524399995803833,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
256x256,6,4,8x8,2,40,2048,0,1,0,0,0,42349734.16361018,16342836.205076309,1888106361.586589,251.6902651575972,,run_20260408_172349,random_seed43,random,43,30,random,3.476613998413086,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
256x256,8,2,8x8,1,40,1024,0,1,0,0,0,32382682.454388045,11134068.811163003,1509636879.090589,30.900554725597164,,run_20260408_172349,random_seed43,random,43,31,random,3.4293150901794434,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
256x256,4,2,8x8,3,20,2048,0,1,0,0,0,43946999.72333428,17253071.6397539,1642445583.090589,247.58197395759717,,run_20260408_172349,random_seed43,random,43,32,random,3.1470489501953125,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
256x256,8,2,8x8,2,40,512,0,1,0,0,0,32527522.40946614,11134068.811163003,1509636879.090589,30.900554725597164,,run_20260408_172349,random_seed43,random,43,33,random,3.1008429527282715,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,7,3,8x8,2,20,512,0,1,0,0,0,26158356.87126388,5569777.573647311,2062291767.856916,47.57611862494107,,run_20260408_172349,random_seed43,random,43,34,random,3.2430121898651123,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
512x512,6,3,2x2,0,10,2048,0,1,0,0,0,6940761.093082038,1035970.5633224761,1005108598.2285513,60.20395128678248,,run_20260408_172349,random_seed43,random,43,35,random,2.371433973312378,0,vgg8,MNSIM.Interface.cifar10,/Users/bytedance/workspace/MNSIM-2.0/cifar10_vgg8_params.pth,/Users/bytedance/workspace/MNSIM-2.0/SimConfig.ini,cpu,3a30f9cf7748
