rank,feasible,global_pareto,latency_ns,energy_nj,area_um2,power_w,accuracy,algo,seed,eval_index,phase,matrix_point_id,run_id,trial_dir,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw
1,True,True,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.939453125,random,42,4,random,,run_20260409_160500,random_seed42,P1,512x512,6,32,2,1,1,2x2,2,80
2,True,False,15659093.533616526,10534362.375328988,2354953730.7135515,856.6961364296048,0.919921875,random,42,9,random,,run_20260409_160500,random_seed42,P1,128x128,4,128,2,0,1,4x4,3,40
