算法,优化轨道,随机种子,总评估次数,帕累托解数量,超体积_HV,HV参考_延迟,HV参考_能耗,HV参考_面积,最优标量目标,最优延迟_ns,最优能耗_nJ,最优面积_um2,最优精度,墙钟时间_s
random,多目标,44,100,4,5.627234179408011e+23,24266301.067398094,10105163.176967371,3955366499.8781314,,2267737.4511600616,247921.65228251895,1339046865.729671,,420.87469696998596
random,多目标,43,100,4,5.6723404975675526e+23,24266301.067398094,10105163.176967371,3955366499.8781314,,2206714.5825780607,247464.58029043855,1339046865.729671,,423.685720205307
random,多目标,42,100,3,5.607509809315869e+23,24266301.067398094,10105163.176967371,3955366499.8781314,,2439143.1307558226,247464.58029043855,1339046865.729671,,424.1385519504547
