algo,track,seed,total_evaluated,pareto_size,hypervolume,hv_ref_lat,hv_ref_en,hv_ref_area,best_scalarized_obj,best_latency_ns,best_energy_nj,best_area_um2,best_accuracy,wall_time_s
random,multi,44,100,4,5.627234179408011e+23,24266301.067398094,10105163.176967371,3955366499.8781314,,2267737.4511600616,247921.65228251895,1339046865.729671,,420.87469696998596
random,multi,43,100,4,5.6723404975675526e+23,24266301.067398094,10105163.176967371,3955366499.8781314,,2206714.5825780607,247464.58029043855,1339046865.729671,,423.685720205307
random,multi,42,100,3,5.607509809315869e+23,24266301.067398094,10105163.176967371,3955366499.8781314,,2439143.1307558226,247464.58029043855,1339046865.729671,,424.1385519504547
