算法,随机种子,评估序号,阶段,延迟_ns,能耗_nJ,面积_um2,功耗_W,精度,单次耗时_s,是否帕累托点,RRAM器件预设,交叉阵列尺寸,ADC档位,DAC数量,正负权实现方式,差分相减位置,阵列分组数,PE阵列规模,Tile连接方式,片间带宽,附加JSON
mobo,42,1,init,5437350.214330991,1608248.0024651666,885898653.5562104,18.072503145690415,0.931640625,19.480083227157593,0,P1,512x512,7,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
mobo,42,2,init,5997133.2533934815,5802139.1135352645,893407211.3802106,57.43931540250036,0.91015625,20.308329820632935,0,P2,512x512,4,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
mobo,42,3,init,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.931640625,21.789267778396606,0,P1,512x512,6,32,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
mobo,42,4,init,4761170.464182462,1248300.8586948751,894144505.3005514,30.12938593901255,0.7314453125,21.342055797576904,0,P3,512x512,4,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.1485546875}"
mobo,42,5,init,5437350.214330991,2698263.8689908637,885051371.3802106,34.47483540250036,0.8193359375,19.371888875961304,0,P3,512x512,7,32,2,0,1,2x2,2,80,"{""accuracy_violation"": 0.060664062500000004}"
mobo,42,6,init,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.90234375,19.589874744415283,0,P2,512x512,6,128,2,1,1,2x2,2,80,"{""accuracy_violation"": 0.0}"
mobo,42,7,mobo,4761170.464182462,1912910.9359328174,1005056583.1245512,58.30707701478249,0.8193359375,19.211846113204956,0,P3,512x512,6,128,2,0,1,2x2,2,80,"{""parego_weight"": [0.17639530335080444, 0.0018832402887904727, 0.4756208767904147, 0.34610057956999035], ""accuracy_violation"": 0.060664062500000004}"
mobo,42,8,mobo,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9130859375,19.580206394195557,1,P1,512x512,7,128,2,1,1,2x2,2,80,"{""parego_weight"": [0.17199413570225822, 0.1612738902919892, 0.29894562685510845, 0.3677863471506442], ""accuracy_violation"": 0.0}"
mobo,42,9,mobo,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.814453125,18.366209030151367,0,P3,512x512,7,128,2,1,1,2x2,2,80,"{""parego_weight"": [0.2637232665565753, 0.3951210087832939, 0.22825841388158563, 0.11289731077854519], ""accuracy_violation"": 0.065546875}"
mobo,42,10,mobo,4761170.464182462,1912910.9359328174,1005056583.1245512,58.30707701478249,0.927734375,18.48418378829956,0,P1,512x512,6,128,2,0,1,2x2,2,80,"{""parego_weight"": [0.4471865869702782, 0.4900349240565968, 0.05284875692941123, 0.009929732043713812], ""accuracy_violation"": 0.0}"
mobo,42,11,mobo,4761170.464182462,1912910.9359328174,893297223.1245514,58.30707701478249,0.9326171875,18.60819101333618,0,P1,512x512,4,128,2,0,1,2x2,2,80,"{""parego_weight"": [0.2501149380073539, 0.29975987507523505, 0.29863745785812124, 0.1514877290592898], ""accuracy_violation"": 0.0}"
mobo,42,12,mobo,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.916015625,20.817777395248413,1,P1,512x512,7,128,2,0,1,2x2,2,80,"{""parego_weight"": [0.04527521522140524, 0.0038536786808478322, 0.2689396656124848, 0.6819314404852622], ""accuracy_violation"": 0.0}"
mobo,42,13,mobo,4328935.425119968,797588.8653504751,885788665.3005514,18.642665939012545,0.9169921875,19.53576397895813,1,P2,512x512,7,128,2,1,1,2x2,2,80,"{""parego_weight"": [0.440035666102239, 0.019910988583186913, 0.1362607325519929, 0.40379261276258116], ""accuracy_violation"": 0.0}"
mobo,42,14,mobo,4761170.464182462,1912910.9359328174,893297223.1245514,58.30707701478249,0.8427734375,18.591041088104248,0,P3,512x512,4,128,2,0,1,2x2,2,80,"{""parego_weight"": [0.035089822883050535, 0.1706523524991602, 0.5277879323558116, 0.26646989226197776], ""accuracy_violation"": 0.037226562500000004}"
mobo,42,15,mobo,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.91015625,18.051798343658447,1,P2,512x512,7,128,2,0,1,2x2,2,80,"{""parego_weight"": [0.29517896946471284, 0.19323984764676047, 0.1943722293794818, 0.31720895350904493], ""accuracy_violation"": 0.0}"
mobo,42,16,mobo,5997133.2533934815,3193060.1506895665,894254493.5562104,29.559223145690417,0.9306640625,18.758278846740723,0,P1,512x512,4,32,2,1,1,2x2,2,80,"{""parego_weight"": [0.023272863059086202, 0.06994039326966117, 0.9042151231326855, 0.0025716205385672574], ""accuracy_violation"": 0.0}"
mobo,42,17,mobo,5997133.2533934815,5802139.1135352645,1005166571.3802105,57.43931540250036,0.9296875,19.16780138015747,0,P1,512x512,6,32,2,0,1,2x2,2,80,"{""parego_weight"": [0.17511741743608517, 0.10662181087244735, 0.4818183829786926, 0.23644238871277495], ""accuracy_violation"": 0.0}"
mobo,42,18,mobo,5997133.2533934815,3193060.1506895665,1006013853.5562103,29.559223145690417,0.8310546875,16.65811848640442,0,P3,512x512,6,32,2,1,1,2x2,2,80,"{""parego_weight"": [0.18764556378714556, 0.3404841091223729, 0.10165132499273612, 0.3702190020977454], ""accuracy_violation"": 0.048945312500000004}"
mobo,42,19,mobo,5437350.214330991,2698263.8689908637,885051371.3802106,34.47483540250036,0.921875,16.67852234840393,0,P1,512x512,7,32,2,0,1,2x2,2,80,"{""parego_weight"": [0.5684227038765838, 0.1786003875343088, 0.08202611779340806, 0.17095079079569953], ""accuracy_violation"": 0.0}"
mobo,42,20,mobo,5437350.214330991,1608248.0024651666,885898653.5562104,18.072503145690415,0.861328125,20.55438256263733,0,P3,512x512,7,32,2,1,1,2x2,2,80,"{""parego_weight"": [0.172231356845636, 0.04717239990034362, 0.3447636298289827, 0.43583261342503765], ""accuracy_violation"": 0.018671875000000004}"
mobo,42,21,mobo,4328935.425119968,1077230.9208284174,884941383.1245514,35.34259701478249,0.865234375,16.607024431228638,0,P3,512x512,7,128,2,0,1,2x2,2,80,"{""parego_weight"": [0.0587111373403224, 0.07650340053213017, 0.21761246932891148, 0.647172992798636], ""accuracy_violation"": 0.014765625000000004}"
mobo,42,22,mobo,4761170.464182462,1248300.8586948751,894144505.3005514,30.12938593901255,0.92578125,16.47033715248108,0,P1,512x512,4,128,2,1,1,2x2,2,80,"{""parego_weight"": [0.045205922528233786, 0.0005463195488617349, 0.6186629623713075, 0.3355847955515969], ""accuracy_violation"": 0.0}"
mobo,42,23,mobo,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.9267578125,17.216944456100464,0,P1,512x512,6,128,2,1,1,2x2,2,80,"{""parego_weight"": [0.3993671416413962, 0.07893184853214469, 0.42283752533059343, 0.09886348449586575], ""accuracy_violation"": 0.0}"
mobo,42,24,mobo,4761170.464182462,1248300.8586948751,1005903865.3005512,30.12938593901255,0.80078125,16.7669460773468,0,P3,512x512,6,128,2,1,1,2x2,2,80,"{""parego_weight"": [0.14707022671926342, 0.7070278287576583, 0.10911049510584114, 0.03679144941723713], ""accuracy_violation"": 0.07921875}"
